FAISS Index,Chunk,Size (chars),Usage Count,Top Question
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Encoder**

The encoder is made of a sequence of encoder blocks having the same structure. The orig...",866,33,What are the primary components of the encoder and decoder in a Transformer?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## T5

### T5
T5, which stands for Text-to-Text Transfer Transformer, is a language model developed ...",2161,33,"What is the significance of the encoder blocks being ""identical""?"
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Prompt Engineering Techniques

*   **Generate Knowledge Prompting:**
    *   Definition: First p...",1181,33,"What role does prompting play in utilizing LLMs for various downstream tasks, and how does it differ..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Hugging Face - Datasets Details**

*   Each dataset in the Hub comes with a dataset card, similar ...",298,33,What are the core components of the Hugging Face Hub?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Types of Classification**

Text classification can be further categorized into different types bas...",1009,33,Which specific datasets are used as examples in this lesson on text classification?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Datasets - Books**

*   Two commonly utilized books datasets for LLMs training are BookCorpus and ...",3036,32,Who are the authors of the textbook?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Encoder Decoder Attention
Keys from Encoder Outputs. Queries from Decoder Inputs. Values from Enc...",729,32,What are the primary components of the encoder and decoder in a Transformer?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Prompt Engineering Techniques

*   **Meta Meta Prompting:**
    *   Definition: Utilizes LLMs to...",1911,32,"What role does prompting play in utilizing LLMs for various downstream tasks, and how does it differ..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"`

**Adding Guardrails to LLMs:**

**Guardrails Defined:** Guardrails are mechanisms or policies des...",1670,32,What is the primary purpose of using Gradio?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"`

**Tools to Use for the Project (Expanded):**

Students have significant flexibility in selecting ...",1209,31,What are some of the practical skills students will develop in this course?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Text Segmentation**

Text segmentation is the process of dividing text into meaningful units. This...",984,31,"What are the differences between stemming and lemmatization, and why are they important preprocessin..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Lesson 3 ##

## Outline

This lesson covers the following topics:

*   **Term Frequency:**  The b...",702,31,What is the title of the textbook mentioned in the text?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Continuous Bag-of-Word
After the training is complete the output layer of the network is discard...",3803,31,What are the final two layers of the decoder and how do they contribute to generating the probabilit...
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Task-Oriented Dialogue Systems**
This section delves into the specifics of Task-Oriented Dialogue ...",1041,31,"In the context of conversational AI, what role does text classification play?"
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Instruction fine tuning

*   Instruction fine-tuning is a specialized approach for adapting large...",1241,30,"What are the key differences between Prompt Engineering and Fine Tuning of LLMs, and why are they im..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## LLAMA Input Encoding
LLaMA models use Byte-Pair Encoding (BPE) as their input encoding method, ob...",747,30,How do positional encodings incorporate position-specific information into the input embeddings?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Case Study: GPT-3.5 and GPT-4

*   **Application of RLHF:** Both GPT-3.5 and GPT-4, developed by...",827,30,Why is it important to review a model's Git repository and release history?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Loss Function and Optimization
GPT models utilize specific loss functions, optimizers, and learni...",1202,30,What is the typical loss function used during the fine-tuning process of BERT?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Popular T5 Variants – mT5
mT5 (Multilingual T5) was developed to extend T5's capabilities to mul...",1337,30,Approximately how many tokens are used in the vocabulary of GPT-2?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Reinforcement Learning from Human Feedback (RLHF)

### What is RLHF?

Reinforcement Learning from...",1447,29,"What is ""Retrieval Augmented Generation"" and how does it enhance the capabilities of Large Language ..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Rasa Project**
The structure and organization of a Rasa project:

*   Most configuration and data ...",375,29,What are students permitted to use for their projects?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Improvements to Word2Vec
**Subsampling Frequent Tokens**
*   Common words (like stop-words) ofte...",1077,29,How can stop word removal negatively impact the meaning of a sentence?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Lesson 18 ##

key concepts of Prompt Engineering, a crucial area within Natural Language Processi...",524,28,In which department and university is this course offered?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"`

**Fine-Tuning with Custom Data:**

**Definition:** Fine-tuning involves training the LLM on domai...",939,28,"What are the key differences between Prompt Engineering and Fine Tuning of LLMs, and why are they im..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"`

**Prompt Engineering:**

**Definition:** Prompt engineering is the process of crafting or refinin...",887,28,"What are the key differences between Prompt Engineering and Fine Tuning of LLMs, and why are they im..."
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Additional Context from Haystack Documentation**

The following information provides additional co...",4971,28,Where can you find the early access version of the second edition of the textbook?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"**Common NLP Models**

The table below lists several common NLP models, along with their licenses, o...",2178,28,When is the second edition of the textbook expected to be released?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Advances in NLP

**2000's**

*   Increased Use of Neural Networks: Neural networks began to gain...",855,28,What specific topics related to advancements in NLP and LLMs will be covered in the second edition?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"## Autoregressive Text Generation
In a decoder-only transformer, text generation is achieved through...",1345,28,"How does the decoder prevent ""peeking"" at future tokens during training, and why is this important?"
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"`

**Types of Guardrails:**

*   **Safety Guardrails:** These are designed to prevent the generation...",1325,28,What ethical considerations are addressed through data pre-processing steps like privacy scrubbing a...
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"12.1 Chatbots are everywhere
Chatbots are everywhere. Here are some examples to help you dream up yo...",2950,28,Why is creating a virtual environment recommended for local development with transformer models?
/kaggle/working/22_03_2025__BGE-M3__MAX_INNER_PRODUCT,"### Popular T5 Variants – Flan-T5
Flan-T5 is a fine-tuned version of T5 with instruction-tuning on a...",946,28,How does the availability of numerous pre-trained models on the Hub benefit users?
